Event.ID,Person,Festival,Discipline,Date Range,Earliest Date,Latest Date,Achievement,Reference
4389, ([athlete]) from Argos? (Argeia),Isthmia in ___,running: diaulos - ___,ca. 210-180 BC,-210,-180,V,SEG 11.338 = IAG 45
4388, ([athlete]) from Argos? (Argeia),Isthmia in ___,running: diaulos - ___,ca. 210-180 BC,-210,-180,V,SEG 11.338 = IAG 45
4387, ([athlete]) from Argos? (Argeia),Isthmia in ___,running: diaulos - ___,ca. 210-180 BC,-210,-180,V,SEG 11.338 = IAG 45
4386, ([athlete]) from Argos? (Argeia),Isthmia in ___,running: diaulos - ___,ca. 210-180 BC,-210,-180,V,SEG 11.338 = IAG 45
4385, ([athlete]) from Argos? (Argeia),Isthmia in ___,running: diaulos - ___,ca. 210-180 BC,-210,-180,V,SEG 11.338 = IAG 45
4313,Kleoxenos from Alexandria (Egypt),Isthmia in Isthmia (Corinthia),combat sports: pugme - ___,ca. 240 BC,-240,-240,V,Euseb. Chron. ll. 277-278 (ed. Christesen) = Afric. Chron. F65 l. 241 (ed. Wallraff)
3528,Pythokles son of Aristarchos from Hermione (Hermionia),Isthmia in Isthmia (Corinthia),musical: aulesis? - ___,ca. 290 (?)-ca. 240 (?) BCE (Farrington),-290,-240,V,IG IV 682 = App.Anth 1.291
2293,Epitherses son of Metrodoros from Erythrai (Ionia),Isthmia in Corinth (Corinthia),combat sports: pugme - andres,ca. 195 (?) - 180 BCE (?) (Farrington),-195,-180,V,IvO 186
2285,Moschos from Kolophon (Ionia),Isthmia in Corinth (Corinthia),combat sports: pugme - paides,ca. 207 (?) - ca. 185 BCE (?) (Farrington),-207,-185,V,Euseb. Chron. ll. 294-295 (ed. Christesen) = Afric. Chron. F65 ll. 254-255 (ed. Wallraff)
2280,Kleoxenos from Alexandria?,Isthmia in Corinth (Corinthia),combat sports: pugme - ___,ca. 255-225 BCE(?) (Farrington),-255,-225,V,Euseb. Chron. ll. 277-278 (ed. Christesen) = Afric. Chron. F65 l. 241 (ed. Wallraff)
2276,Antenor son of Xenares from Miletos (Ionia),Isthmia in Isthmia (Corinthia),combat sports: pankration - ___,ca. 320 - ca. 295 BCE (?) (Farrington),-320,-295,V,Euseb. Chron. Il. 249-250 (ed. Christesen) = Afric. Chron. F65 ll. 219-220 (ed. Wallfraff)
2219,Antilochos son of Mnasilochos from Kamiros (Rhodes),Isthmia in Corinth (Corinthia),equestrian: hippos teleos - ___,2nd century BCE (LGPN),-300,-200,V,Tit.Cam. 79
