Event.ID,Person,Festival,Discipline,Date Range,Earliest Date,Latest Date,Achievement,Reference
4112,Marcus Aurelius Epaphrodeitos from Tlos (Lycia),Isthmia in Isthmia (Corinthia),,,160,212,V,
3790,Aurelius Phoibammon son of Posidonios from Hermopolis Magna (Egypt),Isthmia in Isthmia (Corinthia),combat sports: pankration - ___,ca. 210-ca. 230 AD (Farrington),210,230,V,"P.Lond. III 1243, l. 3"
3786,Marcus Aurelius Hierokles from Nysa (Caria),Isthmia in Isthmia (Corinthia),,ca. 161-ca. 250 AD (Farrington),161,250,V,I.Tralleis 108
3755, ([unknown]),Isthmia in Isthmia (Corinthia),,,200,300,V,IvO 234
3698, ([wrestler]) from Ephesos? (Ionia),Mariana Isthmia in Ephesos (Ionia),combat sports?: pale? - ___,,225,225,V,I.Ephesos 1109
3697, ([athlete]) from Ephesos? (Ionia),Mariana Isthmia in Ephesos (Ionia),,225,225,225,P,SEG 39.1192
3685,Marcus Aurelius Asklepiades from Ephesos (Ionia),Mariana Isthmia in Ephesos (Ionia),combat sports: pale - ___,,220,230,V,I.Ephesos 1112
3684,Marcus Aurelius Chresimos (Gregoris) from Kaisareia Tralleis (Caria),Mariana Isthmia in Ephesos (Ionia),combat sports: pankration - ___,c. 225,225,225,V,I.Ephesos 1113
3683,Marcus Aurelius Zotikos from Kaisareia Tralleis (Caria),Mariana Isthmia in Ephesos (Ionia),combat sports: pale - ___,c. 225,225,225,V,I.Ephesos 1111
3595,Marcus Aurelius Asklepiades from Alexandria (Egypt),Isthmia in Isthmia (Corinthia),combat sports?: pale? - ___,,145,160,V,"IG V.1, 666"
3594,Marcus Aurelius Asklepiades from Alexandria (Egypt),Isthmia in Isthmia (Corinthia),combat sports?: pale? - ___,,145,160,V,"IG V.1, 666"
3591,Marcus Aurelius Asklepiades Hermodoros from Alexandria (Egypt),Isthmia in Isthmia (Corinthia),combat sports: pankration - ___,179,179,181,V,IG XIV 1102 = IGUR 240 = IAG 79
3590,Marcus Aurelius Asklepiades Hermodoros from Alexandria (Egypt),Isthmia in Isthmia (Corinthia),combat sports: pankration - ___,181,179,181,V,
3494,Titus Flavius  [P]oll[is] son of Ariston? from Rhodes? (Rhodes),Isthmia in Isthmia (Corinthia),running: dolichos - andres,ca. 60-ca. 85 (?) CE (Farrington),60,85,V,"ASAA 30-32 (1952-1954), no. 66 and 66a and ASAA 33-34 (1955-1956), no. 1 = IG XII.1, 82"
3484,Titus Flavius  [P]oll[is] son of Ariston? from Rhodes? (Rhodes),Isthmia in Isthmia (Corinthia),running: dolichos - andres,ca. 60-ca. 85 (?) CE (Farrington),60,85,V,"ASAA 30-32 (1952-1954), no. 66 and 66a and ASAA 33-34 (1955-1956), no. 1 = IG XII.1, 82"
3481,Straton or Stratonikos son of Korrhagos from Alexandria (Egypt),Isthmia in Isthmia (Corinthia),,60 BCE (?) (Farrington),-60,-60,V,Ael. VH 4.15
3445,Nikophanes from Thespiai (Boiotia),Isthmia in Isthmia (Corinthia),,31 BCE - 14 CE (Farrington),-31,14,V,IG VII 1856
3365,Aurelius Ancharenos Phaidros son of Phaidros? from Ephesos (Ionia),Isthmia in Isthmia (Corinthia),musical: komoidos - ___,ca. 180 (??)-ca. 220 (??) CE (Farrington),180,220,V,IGRR IV 468 = CIG 6829
3357,K[..]ktabenos son of Proklos from Ephesos (Ionia),Isthmia in Isthmia (Corinthia),,ca. 170 (?)-ca. 215(?) CE (Farrington),170,215,V,"Pap.Agon. no. 6, ll. 62-63 and 73-74 = P.Lond. III 1178, ll. 62-63 and 73-74"
3356,K[..]ktabenos son of Proklos from Ephesos (Ionia),Isthmia in Isthmia (Corinthia),,ca. 170 (?)-ca. 215(?) CE (Farrington),170,215,V,"Pap.Agon. no. 6, ll. 62-63 and 73-74 = P.Lond. III 1178, ll. 62-63 and 73-74"
3353,Gaius Iulius Bassos from Miletos (Ionia),Isthmia in Isthmia (Corinthia),,ca AD 170(?) - ca 205(?) (Farrington),170,205,V,I.Didyma 183
3352,Gaius Iulius Bassos from Miletos (Ionia),Isthmia in Isthmia (Corinthia),,ca AD 170(?) - ca 205(?) (Farrington),170,205,V,I.Didyma 183
3351,Gaius Iulius Bassos from Miletos (Ionia),Isthmia in Isthmia (Corinthia),,ca AD 170(?) - ca 205(?) (Farrington),170,205,V,I.Didyma 183
3350,Gaius Iulius Bassos from Miletos (Ionia),Isthmia in Isthmia (Corinthia),,ca AD 170(?) - ca 205(?) (Farrington),170,205,V,I.Didyma 183
3349,Gaius Iulius Bassos from Miletos (Ionia),Isthmia in Isthmia (Corinthia),,ca AD 170(?) - ca 205(?) (Farrington),170,205,V,I.Didyma 183
3302,Gaius Ilius Aurelius Protogenes from Anemurium (Cilicia),Isthmia in Isthmia (Corinthia),,,190,235,V,"Phoenix 27 (1973), 319-322"
3195,Publius Aelius Heliodoros from Kalykadnos (Cilicia),Isthmia in Corinth (Corinthia),combat sports: pankration - andres,ca. 125-150 CE (Farrington),125,150,V,DAMM pp. 101-5
3161,Aurelius Athenaios from Tyana (Cappadocia),Isthmia in Isthmia (Corinthia),___: rhetoreia - ___,ca. 190-220 CE (Farrington),190,220,V,I.Ephesos 4114
3152, ([runner]) from Ephesos? (Ionia),Isthmia in Isthmia (Corinthia),,ca. 75-263 CE (?) (Farrington),75,263,V,"I.Ephesos 1133 = Brunet (1998), no. 54"
3148, ([pantomime?]) from Magnesia on the Meander (Ionia),Isthmia in ___,,"Inscription date between 177 and 190, carreer started ca. 130 (Farrington, see note 692)",130,190,V,I.Magnesia 192
3097,Titus Flavius Archibios from Alexandria?,Isthmia? in Isthmia (Corinthia),combat sports: pankration - andres,ca. 90-110 CE (Farrington),90,110,V,I.Napoli 51 = IG XIV 747
3079,Piseas from Aphrodisias (Caria),Isthmia in Isthmia (Corinthia),,,250,300,V,"Roueche, Performers no. 207"
3075,Kandidianos from Aphrodisias (Caria),Isthmia in Isthmia (Corinthia),,,250,300,V,"Roueche, Performers no. 207"
3069,Publius Aelius Alkandridas son of Damokratidas from Sparta (Lakonia),Isthmia in Isthmia (Corinthia),running: stadion - ___,,220,230,V,"IG V.1, 556"
3068,Publius Aelius Alkandridas son of Damokratidas from Sparta (Lakonia),Isthmia in Isthmia (Corinthia),running: stadion - ___,,220,230,V,"IG V.1, 556"
3062,Publius Aelius Aurelius Serapion from Ephesos (Ionia),Isthmia in Isthmia (Corinthia),musical: salpigktes - ___,,215,245,V,"F.Delphes III.1, 554"
3057,Gaius Perelius Aurelius Alexandros from Thyateira (Lydia),Isthmia in Isthmia (Corinthia),combat sports: pankration - ___,,210,230,V,IGRR IV 1251 = TAM 1018
3056,Gaius Perelius Aurelius Alexandros from Thyateira (Lydia),Isthmia in Isthmia (Corinthia),combat sports: pankration - ___,,210,230,V,IGRR IV 1251 = TAM 1018
2961,Marcus Aurelius Kleanor son of Kleanor from Sparta (Lakonia),Isthmia in Isthmia (Corinthia),,,205,230,V,"IG V.1, 603 (= SEG 11.816) + IG V.1, 168 (SEG 11.625) = SEG 34.308 = SEG 37.324"
2955, (Graus) from Apamea-Myrleia (Bithynia),Isthmia in Isthmia (Corinthia),running: dolichodromos - ___,200-300 CE (Farrington),200,300,V,I.Ephesos 1609 = GIBM 609
2953,[Septi]mius Au[r]elius S[.......] from Alexandria (Egypt),Isthmia in Isthmia (Corinthia),running: stadion - andres,,200,250,V,SEG 34.176
2949,Gaius Aelius Granianos Phanias Artemidoros (Publius...) from Miletos (Ionia),Isthmia in Isthmia (Corinthia),,,200,230,V,I.Didyma 188
2942,Claudius Apollonius from Smyrna (Ionia),Isthmia in Isthmia (Corinthia),,,170,200,V,IGUR 244
2938,Tiberius Julius Septimius Julianus from Smyrna (Ionia),Isthmia in Corinth (Corinthia),,,180,350,V,I.Smyrna 733
2935,Menekrates son of Assyrios from Sillyon (Pamphylia),Isthmia in Corinth (Corinthia),musical: komoidos - ___,,180,220,V,IGRR IV 468 = CIG 6829
2907,Bentidios Sota,Isthmia in Corinth (Corinthia),musical: pythaulesis - ___,,170,215,V,IGRR IV 468 = CIG 6829
2901,Claudius Rufus Peisaios (Apollonius) son of Claudius Apollonius Smyrnaios from Smyrna (Ionia),Isthmia in Corinth (Corinthia),,,170,200,V,IGUR 244
2898,Marcus Aurelius Chrysippos from Alexandria?,Isthmia in Corinth (Corinthia),combat sports: pale - ___,,170,185,V,"P.Lond. III 1178, l. 56"
2895,Lucius Silikios Firmos Mandrogenes from Magnesia on the Meander (Ionia),Isthmia in Corinth (Corinthia),combat sports: pankration - ___,,165,180,V,I.Magnesia 199
2889,Titus Antonius Eutychianos from Pessinous (Galatia),Isthmia in Corinth (Corinthia),musical: kitharoidia - ___,,161,250,V,I.Pessinous 19 = IGRR III 231
2884,[Mar(kos) Au]relius [--]menos from Kos (Kos),Isthmia in Corinth (Corinthia),___: keryxis - ___,,161,250,V,Iscr. Cos EV 53
2881,Marcus Aurelius Philosebastos from Ephesos (Ionia),Isthmia in Corinth (Corinthia),,,161,250,V,I.Ephesos 1104
2878,Marcus Aurelius Alexandros from Kos (Kos),Isthmia in Corinth (Corinthia),___: tragoidia - ___,,161,250,V,PH no. 129
2872,Publius Pompeius Eutyches (Nannaros) from Philadelphia (Lydia),Isthmia in Corinth (Corinthia),,,150,175,V,IGRR IV 1643 = TAM 1472
2871,Publius Pompeius Eutyches (Nannaros) from Philadelphia (Lydia),Isthmia in Corinth (Corinthia),,,150,175,V,IGRR IV 1643 = TAM 1472
2866,Mnasiboulos from Elateia (Phokis),Isthmia in Corinth (Corinthia),running: stadion - andres,,150,175,V,"IG IX.1, 146"
2865,Mnasiboulos from Elateia (Phokis),Isthmia in Corinth (Corinthia),running: hoplites - andres,,150,175,V,"IG IX.1, 146"
2856,Mnasiboulos from Elateia (Phokis),Isthmia in Corinth (Corinthia),running: stadion - andres,,150,175,V,"IG IX.1, 146"
2855,Mnasiboulos from Elateia (Phokis),Isthmia in Corinth (Corinthia),running: hoplites - andres,,150,175,V,"IG IX.1, 146"
2690,Marcus Aurelius Demetrios from Hermopolis Magna (Egypt),Isthmia in Corinth (Corinthia),combat sports: pankration - ___,,140,170,V,IG XIV 1104 = IGUR 239
2686,Titus Aelius Aurelius Metrodoros from Philadelphia (Lydia),Isthmia in Corinth (Corinthia),,,132,250,V,IAG 72 = LBW 1620b = I.Aphr. 12.920
2679,[...] Ulpius from Telmessos (Lycia),Isthmia in Corinth (Corinthia),,,120,140,V,TAM II 22
2676, ([wrestler]),Isthmia in Corinth (Corinthia),combat sports: pale - andres,,115,140,V,IGUR 255 = IG XIV 1112
2633,Diogenes son of Dionysios from Ephesos (Ionia),Isthmia in Isthmia (Corinthia),musical: salpizein - ___,,58,85,V,IvO 232
2631,Publius Aelius from Laodikeia on the Lykos (Phrygia),Isthmia in Corinth (Corinthia),,,110,160,V,I.Laodikeia am Lykos 65A
2627,Apollonios,Isthmia in Corinth (Corinthia),,,100,138,V,IG XIV 611
2624,Marcus Antonius Lollianus from Ephesos? (Ionia),Isthmia in Isthmia (Corinthia),,,95,250,V,I.Ephesos 1153
2621,Marcus Ulpius Domesticus from Ephesos (Ionia),Isthmia in Corinth (Corinthia),combat sports: pankration - ___,,110,130,V,"IG V.1, 669"
2578,Aristeas from Stratonikeia (Caria),Isthmia in Isthmia (Corinthia),combat sports: pale? - andres?,,50,70,V,CIG 2723 = I.Stratonikeia 1042
2386,Isidoros from Alexandria?,Isthmia in Corinth (Corinthia),combat sports: pale - ___,"ca, 87 (?) - ca. 62 BC (Farrington)",-87,-62,V,"Phot. Bibl. 97, l. 39 = Phleg. FrGH 257 F12"
2379,[Titus?] Flavius Theodotos son of Noum[enios?],Isthmia in Corinth (Corinthia),,ca. AD 75 (?) - ca. 96 (?) (Farrington),75,96,V,"Bousquet (1992), pp. 192-194 = Museum Delphi, inv. 2433 and 2967"
2378,[Titus?] Flavius Theodotos son of Noum[enios?],Isthmia in Corinth (Corinthia),,ca. AD 75 (?) - ca. 96 (?) (Farrington),75,96,V,"Bousquet (1992), pp. 192-194 = Museum Delphi, inv. 2433 and 2967"
2373,Pagkles son of Pagkles from Tenos? (Tenos),Isthmia in Corinth (Corinthia),,ca. AD 75 (?) - ca. 250 (?) (Farrington),75,250,V,"IG XII.5, 909"
2369,Tiberius Claudius Nikanor from Seleukeia Pieria (Syria),Isthmia in Corinth (Corinthia),,ca. AD 75 (?) - ca. 130 (??) (Farrington),75,130,V,"IGLS III.2, 1186"
2365,Marcus Ulpius Sokrates from Sparta? (Lakonia),Isthmia in Corinth (Corinthia),,ca. AD 80 (?) - 138 (?) (Farrington),80,138,V,"IG V.1, 105"
2331,Titus Flavius Metrobios son of Demetrios from Iasos (Caria),Isthmia in Corinth (Corinthia),running: dolichos - andres,ca. AD 75 (?) -  ca. 90 (?) (Farrington),75,90,V,I.Iasos 107
2328,Tiberius Claudius Artemidoros from Kaisareia Tralleis (Caria),Isthmia in Corinth (Corinthia),combat sports: pankration - ___,ca. AD 65 (?) - ca. 80 (?) (Farrington),65,80,V,I.Ephesos 1124
2318,Quintus Marcius Titianos from Athens (Attica),Isthmia in Corinth (Corinthia),musical: komoidos - ___,ca. AD 60 (??) - ca. 150 (??) (Farrington); first c. CE (Peek),0,150,V,"IG II(2), 12664 = GVI 681"
2314,Quintus Marcius Straton from Athens (Attica),Isthmia in Corinth (Corinthia),musical: komoidos - ___,ca. AD 60 (??) - ca. 150 (??) (Farrington); first c. CE (Peek),0,150,V,"IG II(2), 12664 = GVI 681"
2311,Athenaios from Athens (Attica),Isthmia in Corinth (Corinthia),,ca AD 60 (?) - AD 110 (?) (Farrington),60,110,V,"IG II(2), 3577 = I.Eleusis 441"
2302,Tiberius Claudius Hermas son of Ision from Antiochia (on the Orontes) (Syria),Isthmia in Corinth (Corinthia),combat sports: pankration - andres,ca. 20 (?) - ca. 45 (?) (Farrington),20,45,V,IvO 231
2295, ([kitharistes]) from Kos? (Kos),Isthmia in Corinth (Corinthia),musical: kitharoidia - ___,ca. AD 10 (?) - ca. 85 (?) (Farrington),10,85,V,Iscr. Cos EV 222
2218,Valerius Eklektos from Sinope (Pontus),Isthmia in Corinth (Corinthia),___: keryxis - ___,ca. AD 235 (?) - 257 (Farrington),235,257,V,"IG II(2), 3169-3170"
2217,Valerius Eklektos from Sinope (Pontus),Isthmia in Corinth (Corinthia),___: keryxis - ___,ca. AD 235 (?) - 257 (Farrington),235,257,V,"IG II(2), 3169-3170"
2216,Valerius Eklektos from Sinope (Pontus),Isthmia in Corinth (Corinthia),___: keryxis - ___,ca. AD 235 (?) - 257 (Farrington),235,257,V,"IG II(2), 3169-3170"
2215,Valerius Eklektos from Sinope (Pontus),Isthmia in Corinth (Corinthia),___: keryxis - ___,ca. AD 235 (?) - 257 (Farrington),235,257,V,"IG II(2), 3169-3170"
2211,Titus Domitius Prometheus from (Attica),Isthmia in Corinth (Corinthia),chariot: tethrippon - ___,,235,241,V,"IG II(2), 3769 = IAG 89"
2179, ([wrestler]) from Rhodes? (Rhodes),Isthmia in Isthmia (Corinthia),,,0,200,V,SEG 39.762 = AER 176
2173, ([wrestler]) from Rhodes? (Rhodes),Isthmia in Isthmia (Corinthia),combat sports: pale - andres,,0,200,V,SEG 39.762 = AER 176
2120, ([athlete]),Isthmia in Corinth (Corinthia),,,225,250,V,IG VII 49 = IAG 88
2119, ([athlete]),Isthmia in Corinth (Corinthia),,,225,250,V,
2112,Demetrios son of Demetrios from Salamis (Cyprus),Isthmia in Corinth (Corinthia),,First half 3rd century,215,250,V,I.Anarzabos 25 = IAG 86
2111,Demetrios son of Demetrios from Salamis (Cyprus),Isthmia in Corinth (Corinthia),,First half 3rd century,215,250,V,I.Anarzabos 25 = IAG 86
2057,Lucius Septimius Aurelius Marcianos from Nikomedeia (Bithynia),Isthmia in Corinth (Corinthia),,,190,220,V,"Robert, Deux concours, 20"
2056,Lucius Septimius Aurelius Marcianos from Nikomedeia (Bithynia),Isthmia in Corinth (Corinthia),,,190,220,V,"Robert, Deux concours, 20"
2055, ([equestrian]) from Corinth (Corinthia),Isthmia in Corinth (Corinthia),equestrian: polemisterion hippikon - ___,186,186,186,V,"Corinth 8.1, 16"
2001,[...]onou from Athens (Attica),Isthmia in Corinth (Corinthia),,186,186,186,V,"Corinth 8.1, 16"
1950, ([fluteplayer]),Isthmia in Corinth (Corinthia),musical: pythaulesis - ___,,180,250,V,"F.Delphes III.1, 550 = IAG 81"
1949, ([fluteplayer]),Isthmia in Corinth (Corinthia),musical: pythaulesis - ___,,180,250,V,"F.Delphes III.1, 550 = IAG 81"
